from,to,relationship
UL,CDU,2
UL,500,1
LK,SPD,2
LK,500,1
LK,503,1
LK,506,1
NR,CDU,2
NR,500,1
NR,501,1
SW,Die Linke,2
SW,500,1
CS,500,1
AW,500,1
AW,501,1
AW,502,1
AW,503,1
AW,504,1
AW,505,1
AW,506,1
AW,507,1
AW,508,1
CL,FDP,2
CL,501,1
KS,501,1
LM,501,1
KD,501,1
EG,501,1
FT,502,1
AM,502,1
AM,508,1
AGL,FDP,2
AGL,502,1
AGL,504,1
ER,502,1
RH,Grüne,2
RH,503,1
CM,503,1
KP,503,1
RK,CDU,2
RK,503,1
CLA,SPD,2
CLA,504,1
CH,504,1
MW,504,1
SB,504,1
OS,SPD,2
OS,505,1
MS,CSU,2
MS,506,1
VG,506,1
MB,Grüne,2
MB,506,1
RM,506,1
AB,Grüne,2
AB,502,1
AB,507,1
SE,SPD,2
SE,507,1
MASZ,FDP,2
MASZ,507,1
JW,CDU,2
JW,507,1
MF,507,1
KK,SPD,2
KK,508,1
BH,Grüne,2
BH,508,1
RP,CDU,2
RP,508,1
HW,508,1
